id,movie_title,twitter_neg,twitter_pos,twitter_neu,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
855,Glass,1.0,5.0,1467.0,111048468,3844,40328920,2019/01/18,6.2,129,20000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
856,Godzilla: King of the Monsters,0.0,0.0,1475.0,110500138,4108,47776293,2019/05/31,4.9,131,170000000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
857,The Upside,3.0,12.0,1453.0,108252517,3568,20355000,2019/01/11,5.7,126,37500000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
858,Little Women,1.0,26.0,2882.0,108101214,3308,16755310,2019/12/25,6.9,121,42000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
859,The Lego Movie 2: The Second Part,0.0,0.0,1405.0,105806508,4303,34115335,2019/02/8,5.8,93,99000000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
860,Hustlers,5.0,26.0,1436.0,104963598,3525,33181361,2019/09/13,5.2,110,20700000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
861,The Addams Family,1.0,10.0,1422.0,100044905,4107,30300007,2019/10/11,5.2,87,30000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,Rocketman,1.0,27.0,1450.0,96368160,3610,25725722,2019/05/31,6.7,121,41000000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
863,Alita: Battle Angel,10.0,20.0,1428.0,85838210,3802,28525613,2019/02/14,6.4,121,170000000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
864,Men in Black: International,0.0,4.0,1466.0,80001807,4224,30035838,2019/06/14,4.6,115,110000000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
865,Annabelle Comes Home,5.0,7.0,1433.0,74152591,3613,20269723,2019/06/26,5.1,106,27000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
